用户ID|评论|点赞数
网易北京市网友--开心迷糊姐： |祝中英友谊长存！合作愉快！繁荣昌盛！|0
网易湖南省衡阳市网友--219088816： |支持习大大|0
网易山东省青岛市手机网友--弋人何篡： |支持我们的习主席，习总改进领导干部工作作风，为民谋利益，深得民心|0
网易山东省青岛市手机网友--敌意f： |在习书记的带领下，坚持法治国家、法治政府、法治社会一体建设，不断开创依法治国新局面|0
网易山东省青岛市手机网友--粉蝶泪相思雨： |习主席切实关注百姓生活，实现中国梦指日可待|0
网易山东省手机网友--妳此生不换： |英明的习近平主席治国有方，我们国人充满信心和希望。|0
网易山东省手机网友--妳此生不换： |习主席客观公正肯定历史，是人民拥护的好领导|0
网易山东省青岛市手机网友--嘴硬心软： |时时刻刻工作着 习总 为您赞一个|133
网易山东省青岛市市北区手机网友--神马莫有： |习总外交体现了大国领袖的风范，讲出的话充分代表亿万人|0
网易山东省青岛市手机网友--铭记n： |盼望习总能为中国人民带来幸福的日子|0
网易山东省青岛市手机网友--你已离我而去i： |话千遍都不厌倦，因为让老百姓觉得很贴心。支持习总书记|0
网易陕西省西安市网友 <span id=B6HTBTJ7 class=cGray>ip：113.200.*.*：</span>|习大大使中英两国走在了一起，中英利益共同体的打造会让中英两国继续进步。|0
网易山东省青岛市手机网友--单身女人： |信念坚定，为民服务，勤政务实，敢于担当，清正廉洁。支持习总|0
网易山东省青岛市手机网友--天下朋友c： |太感动了，我感动的哭了，习主席让我们看到了希望|0
网易山东省青岛市手机网友--混吃等死7： |支持我们的习主席，习总改进领导干部工作作风，为民谋利益，深得民心|0
网易山东省青岛市手机网友--松雪兰竹： |我们的祖国已接脱了过去的屈辱和贫穷，相信在习主席的带领下中国发展的更加繁荣昌盛|0
网易山东省青岛市手机网友--莪傷： |治国有方，国家富强，民族振兴，人民幸福|0
网易山东省青岛市市北区手机网友--李萍hh： |盼望习总能为中国人民带来幸福的日子|0
网易河北省唐山市滦南县网友 <span id=B6HSQQHP class=cGray>ip：60.2.*.*：</span>|在习总书记的带领下，我相信中国会走的更宽，走的更远。|0
网易山东省青岛市手机网友--太阳当空照t： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|0
网易山东省青岛市手机网友--魂淡9： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|0
网易山东省青岛市手机网友--心慈手不软： |对于国家的前途，我充满信心|72
网易河北省唐山市网友 <span id=B6HSNHFQ class=cGray>ip：27.191.*.*：</span>|在习大大带领下的中国日新月异，不断发展！|0
网易山东省青岛市手机网友--冷瞳醉迷离： |相信他会为使我国变的更加强大|0
网易山东省青岛市手机网友--狼色风尚： |人民期待新一代领导人能带领我们实现中国梦|0
网易山东省青岛市手机网友--小猴猴： |中国一定会强胜，总书记的思路清晰，叙述精简、准确、是一个有力度的领导人|0
网易山东省青岛市手机网友--快乐一生7： |在习总书记的带领下，我们的国家会越来越富有，越来越强大，人民的生活水平会越来越高|0
网易山东省青岛市手机网友--奔跑的蜗牛m： |习大大加油，支持习大大|0
网易湖南省岳阳市网友--万俟愔： |此次访英成就非凡，为两国的未来奠定新基调，尽显大国风尚。希望中英关系越来越好，走向共同繁荣，共同发展！|0
网易山东省青岛市手机网友--弋人何篡： |衷心拥护，尊重，爱戴习近平总书记！他忠于祖国和人民！首先做到了求真务实，讲真话|0
网易山东省青岛市手机网友--溈鉨w菰単： |很喜习大大说话的声音，特别好听亲民，木有官味儿|138
网易山东省青岛市手机网友--鑫殇： |民的心声，人人都向往和平，包括全世界各国人民|0
网易山东省青岛市手机网友--飞月梦想： |相信他会为使我国变的更加强大|0
网易山东省青岛市手机网友--劳务招聘： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|0
网易山东省青岛市手机网友--暧伱小亲亲： |习总我们支持你大刀阔斧的改革|0
网易山东省青岛市手机网友--革命与否： |习近平总书记强调：形势越变化、党和人民事业越发展，越要重视干部培养。|117
网易山东省青岛市手机网友--木水格格： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|0
网易河北省石家庄市网友 <span id=B6HRTPDS class=cGray>ip：61.182.*.*：</span>|强大的经济实力，习大大英国行向世界展现中国经济对世界经济复苏的贡献。|0
网易山东省青岛市手机网友--陪她笑i： |有了习主席这样优秀的领袖，人民群众对以后充满希望，支持习主席|0
网易北京市网友--斑酱先生： |中英关系已经到了一个新的阶段，需要更多的规划和合作。国际上也对这次中国主席访英一事颇为关注。|0
网易山东省青岛市手机网友--猥琐b： |在习总书记的带领下中国未来发展会更好。|0
网易北京市网友--斑酱先生： |双方将在零售领域签署超过10亿英镑的出口协议，咱们的生活将会因此受惠。|0
网易山东省青岛市手机网友--深蓝姑娘i： |路，习总好样的，不愧是人民所选出来的领导者，我坚决支持和拥护|0
网易山东省青岛市手机网友--陪她笑i： |有这样的领导人，老百姓放心|0
网易北京市网友--斑酱先生： |本次习主席访英，文创产业也得到了很多展示的机会，另外，习主席戴上3D眼镜很酷哦！|0
网易山东省青岛市手机网友--年年旺运： |强国富民，改革创新，永无止境|0
网易山东省青岛市手机网友--半支烟ZZ： |习主席上任以来，做的每一件事，都彰显着大气，从大局出发|0
网易北京市网友--斑酱先生： |咱们的国家是越来越强大了，中英合作利益逐渐扩大。真心希望两个国家越来越好！|0
网易山东省手机网友--伤不起的心： |治理国家任重而道远，习总书记必能承受住压力，迎难而上，创造更辉煌的中国|0
网易山东省青岛市手机网友--风起时想你f： |坚决支持习总书记，继往开来，再创新篇|148
网易河北省唐山市滦南县网友 <span id=B6HRPQ3E class=cGray>ip：60.2.*.*：</span>|支持习大大，在习大大的带领下中国定会走向繁荣富强。|0
网易山东省青岛市手机网友--靓丫頭： |习书记讲的好，中国人民有发展的前途，在您的带领下一定会站在世界前列|0
网易山东省青岛市手机网友--姜宝i： |衷心拥护，尊重，爱戴习近平总书记！他忠于祖国和人民！首先做到了求真务实，讲真话|0
网易北京市网友--斑酱先生： |国家强大，人民幸福，感谢习大大带领我们奔向辉煌的明天！|0
网易山东省青岛市手机网友--单身女人： |支持书记的讲话，让群众共同努力建设美好家园|0
网易山东省青岛市手机网友--冷瞳醉迷离： |国家要发展，不仅要发展经济，还要整治腐败习总书记英明。|0
网易北京市网友--斑酱先生： |共同发展中英利益共同体，英语文化和汉语文化如今在全球交相辉映。|0
网易北京市网友--斑酱先生： |深度合作，持久发展，中英两国友谊万年长~~|0
网易北京市网友--斑酱先生： |只想说，政治离我们很远，又离我们很近，每一项国与国之间的合作项目，都对我们的生活有着深远影响。|0
网易山东省青岛市手机网友--梦在远方0： |因为有这样的领导，我们的国家会越来越强大，支持习主|0
网易北京市网友--dongdongqiang579： |当前世界格局已不再是单边模式，西方大国也都要开始考虑和中国发展更广阔的经济合作关系。此次中英双边合作开启了中国与西方强国贸易合作的新时期，特别是习近平主席“冷静”、“耐心”、“有原则”的领袖形象与在反腐上花的大力气给世界各国留下了深刻的印象。|0
网易北京市网友--斑酱先生： |这次访问很有意思，也很有美感，总感觉英国文化十分有特点~~点赞！|0
网易北京市网友--斑酱先生： |彭麻麻还是那么美~~~真心是国家名片~~~每次访问外国，彭麻麻都是亮点之一~~|0
网易北京市网友--dongdongqiang579： |正像《唐顿庄园》故事里描述的一样，英国庄园的魅力在全世界都是知名的，这次习大大受邀做客英国首相府邸契克斯庄园，不但是其个人魅力在国际社会上获得的认可，更显示出中英关系发展进入一个新的“黄金时期”。|0
网易山东省青岛市手机网友--若无其事z： |相信他会为使我国变的更加强大|0
网易北京市网友 <span id=B6HRHEJ2 class=cGray>ip：111.206.*.*：</span>|核能、石油、旅游、汽车、医疗、教育，这150项协议中涉及的一项项内容，很多具体条款可能作为普通百姓不太容易明白，但相信日后这些合作内容都将会对我们的生活产生深远的影响。|0
网易北京市网友 <span id=B6HRJIU6 class=cGray>ip：111.206.*.*：</span>|习大大这次出访英国所达成的150项双方合作协议中，媒体报道共涉及3916亿元人民币的金额。虽然很多项目涉及国计民生的大事，但也都和中国普通百姓的日常生活息息相关。|0
网易河北省唐山市滦南县网友 <span id=B6HRHNLC class=cGray>ip：60.2.*.*：</span>|支持习大大，得道多助，中国会越来越好。|0
网易北京市网友--dahuilangxiaohong： |此次出访英国，习大大在演讲和讲话中多次谈到了英国的历史和当前流行的诸多文化元素，真为习大大丰富的学识和广泛的兴趣爱好所折服！|0
网易山东省青岛市手机网友--雁秋词： | 习大大 加油 再接再厉 我们看好您！！|0
网易河北省唐山市滦南县网友 <span id=B6HRADIK class=cGray>ip：60.2.*.*：</span>|150项合作协议，硕果累累，中英合作，共创美好未来！|4
网易北京市网友--dahuilangxiaohong： |习大大这次出访英国，萌萌哒英女王伊莉莎白二世又一次引起世界舆论的关注，不过习大大访问期间对这位老奶奶的谦恭和礼貌更收获了众多中国网友们的点赞呢！|1
网易北京市网友--xiaobaitumemeda： |作为普通的中国民众，大大这次出访为我们带来的实惠当中，最哈皮的当然是英国签证可以两年内多次签了，省了不少麻烦和银子呢！|0
网易河北省唐山市滦南县网友 <span id=B6HR3EOK class=cGray>ip：60.2.*.*：</span>|习总书记带领的中国在外交上迈出了伟大的一步。|3
网易黑龙江省伊春市网友--星星落在深海里： |习总站的高，看的远；思路清晰，大国领袖的风范，好！|0
网易北京市网友--xiaobaitumemeda： |白金汉宫富丽堂皇的建筑规制和周边风景秀丽的英国田园风光，给所有中国网友留下了深刻美好的印象，相信也会给大大这次英国之行留下美好记忆。|0
网易河北省唐山市滦南县网友 <span id=B6HQNG5G class=cGray>ip：60.2.*.*：</span>|习大大使中英两国走在了一起，中英利益共同体的打造会让中英两国继续进步。|3
网易山东省青岛市手机网友--浅海湾的释然： |话语表真心，行动表决心，相信在新一代国家领导人的领导下我们的国家会越来越昌盛|0
网易山东省青岛市手机网友--美丽心情u： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|0
网易山东省青岛市手机网友--冬天的雪s： |针对当前错综复杂的国际形势，习主席的一系列重要讲话指明了我们前进道路的方向。坚定支持|0
网易山东省青岛市手机网友--半城盛夏： |坚决拥护党中央，支持习主席，人民军队爱人民,时刻听从党指挥,髙举毛泽东伟大旗帜奋勇前进|119
网易山东省青岛市手机网友--靓丫頭： |希望执政党人持之以恒。深入基层整治腐败分子|0
网易山东省青岛市手机网友--佑掱撁着沵： |很喜欢习主席，务实，低调，勇气，支持|0
网易安徽省芜湖市网友 <span id=B6HQ1JFF class=cGray>ip：220.180.*.*：</span>|150项合作协议，硕果累累，两国互惠互利，共同发展。|0
网易山东省青岛市手机网友--你已离我而去i： |真正的革命者，真正的共产党人|0
网易山东省青岛市手机网友--年年旺运： |向习总致敬 为国事而劳累着 您辛苦了|0
网易山东省青岛市手机网友--请叫我恶魔： |习总，好样的，中国一定会更加富强，明天一定会更美好|0
网易北京市网友--xiaobaitumemeda： |英女王高规格的接待仪式，鸣放礼炮103响，开启了中英关系的新篇章。感觉习大大坐皇家马车萌萌哒~|0
网易北京市网友--xiaobaitumemeda： |习大大于当地时间19日对英国开展的这次“超级访问”，已赢得了国内外舆论的广泛关注。相信这次“超级国事访问”能为未来中英关系开辟更加广阔的空间。|0
网易山东省青岛市手机网友--你的健康我帮你： |很喜欢习主席，务实，低调，勇气，支持|82
网易山东省青岛市手机网友--来世拿肝对你： |习大大是一位值得我们支持的领袖|0
网易山东省青岛市手机网友--阿SIR陈： |期待着以习总为主的新一届党中央领导人以更大的政治勇气和智慧，深化重要领域改革，创造更加富强的中国|0
网易山东省青岛市手机网友--铭记n： |总书记为民谋利益，深得民心！相信新一届领导集体一定会带领中国人民走向辉煌|0
网易山东省青岛市手机网友--小猴猴： |有坚强的中央领导集体，我们在灾害和困难面前，同心同德，同舟共济，一定能战胜一切困难，共建共享美好中国|0
网易山东省青岛市手机网友--来世拿肝对你： |衷心拥护，尊重，爱戴习近平总书记！他忠于祖国和人民！首先做到了求真务实，讲真话|0
网易山东省烟台市网友--宝宝猪1： |习总好样的，您上任后所做的我们都看的到，群众需要您，支持您|0
网易山东省烟台市网友--离别式： |习总是一位很尽职尽责的国家领导人，有这样的好领导，中国一定会走向复兴！|0
网易山东省青岛市手机网友--快乐一生7： |习总通俗易懂的朴实语言让老百姓看到了毛主席的风范，坚决支持习近平总书记|0
网易山东省青岛市手机网友--禁止犯贱kk： |习总，你的所做所为，人民爱戴你！你是新时期的新时代！阳光普照大地，你是中国人民的|0
网易山东省青岛市手机网友--肆无鸡蛋： |拥护习近平总书记！他忠于祖国和人民！首先做到了求真务实，讲真话|0
网易山东省青岛市手机网友--阿SIR陈： |支持习总书记！强势治军巩固国家安全，重拳反腐塑造政治清明深得民心|0
网易山东省青岛市手机网友--粉蝶泪相思雨： |喜欢这样平易近人的习大大~加油加油~支持习总|0
网易山东省青岛市手机网友--梦在远方0： |习大大为国操劳,执政为民,彰显国威,同胞们要团结一心,全力支持|0
网易山东省青岛市手机网友--潇洒走人间： |早就该整顿一下了，军队反腐、刻不容缓|0
网易山东省青岛市手机网友--七年久： |强烈支持习主席的务实坚定的领导风格|0
网易山东省青岛市手机网友--七年久： |对于国家的前途，我们充满信心，因为有习总这样的领导人|0
网易北京市网友 <span id=B6HOIKCC class=cGray>ip：61.49.*.*：</span>|中英友好，共同发展！|0
网易山东省青岛市手机网友--妩媚的女人： |牢记习总书记的指示 做好关于党的群众路线工作|0
网易北京市网友--我是石头哥： |支持习大大！|0
网易辽宁省网友 <span id=B6HOFVL1 class=cGray>ip：218.60.*.*：</span>|习大大访英开启中英“黄金时代”，中英越来越成为你中有我、我中有你的利益共同体。这种合作共赢的关系对于两国来说是最为明智的选择。就像习大大在演讲中说的：智者创造机会，而不是等待机会。|0
网易山东省烟台市网友--伤之痛： |习总书记的一系列行动都让我们感到国家立场的坚定，支持习总书记！对国家越来越有信心了！！|0
网易山东省青岛市手机网友--仅有的她： |顶习总！应设法提供制度保障|0
网易北京市网友--我是石头哥： |得道者多助！|0
网易北京市网友--我是石头哥： |得道者多助！|0
网易山东省青岛市手机网友--清风拂面o： |有总书记的睿智领导，相信我们的国家会越来越强大，越来越繁荣昌盛|0
用户ID|评论|点赞数
用户ID|评论|点赞数
网易山东省泰安市网友--迷宫： |相信习总书记一定可以带领中国走向更加的稳定繁荣，相信习总书记会带领中国走向小康之路，习总好样的，不愧是人民所选出来的领导者，我坚决支持和拥护|363
网易黑龙江省伊春市网友--我得看你啊： |习总书记的一系列行动都让我们感到国家立场的坚定，支持习总书记！对国家越来越有信心了！！|312
网易山东省泰安市网友--下一个星球： |习近平主席有魄力、有胆识、有能力、有远见。是个情系于民办事为民的好官。人民永远支持您|304
网易内蒙古乌兰察布市网友 <span id=B6HABG20 class=cGray>ip：116.115.*.*：</span>|开启中英黄金时代，实现双方互惠共赢!习大大辛苦了！|304
网易山东省网友--194611982： |人民需要正能量，人民政府需要个榜样。支持习总书记！|294
网易黑龙江省哈尔滨市网友--兔帽小娃娃： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|288
网易山东省泰安市网友--竹林风1： |习主席让我们看到了希望|288
网易山东省泰安市网友--公主日记： |支持习主席！希望广大领导干部，尤其是基层干部把这些话落到实处，让群众得到真正的实惠|285
网易黑龙江省伊春市网友--我的天那你的： |大家有目共睹！期待领导人 能够排除苦难，为我们民众做出最大努力！辛苦您了：国家领导人！！|283
网易山东省泰安市网友--浮生记： |亲切和蔼的习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福，习主席让世界看好中国，让普天百姓踏踏实实生活在伟大文明且和谐的中国|276
网易山东省泰安市网友--灿烂千阳1： |中国有希望！支持习主席|270
网易黑龙江省伊春市网友--我得看你啊： |支持习总的认真务实！是人民的好榜样！|265
网易黑龙江省伊春市网友--我得看你啊： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|261
网易黑龙江省鹤岗市网友--保存生命： |习总书记的一系列行动都让我们感到国家立场的坚定，支持习总书记！对国家越来越有信心了！！|258
网易黑龙江省鹤岗市网友--像花儿一样的季节： |期待着习大大带领中国走向更美好的未来！|257
网易黑龙江省伊春市网友--我的天那你的： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|255
网易黑龙江省鸡西市网友--你们干啥： |习主席一心为国为民，雷厉风行，为中国的经济发展推波助澜|254
网易黑龙江省伊春市网友--我的天那你的： |习书记讲的好，中国人民有发展的前途，在您的带领下一定会站在世界前列|249
网易黑龙江省鹤岗市网友--可怜宝贝： |看到习总，看到了国家和民族的希望，支持习总。|247
网易黑龙江省鸡西市网友--马克加索尔： |人民需要正能量，人民政府需要个榜样。支持习总书记！|246
网易韩国网友--夏建仁： |习总您辛苦啦，我们永远支持你。|245
网易黑龙江省鸡西市手机网友--卡哇伊能耐： |对习总寄予厚望，中国的富强就看您的了！|244
网易黑龙江省哈尔滨市网友--长发小姑娘： |看到习总，看到了国家和民族的希望，支持习总。|243
网易黑龙江省鹤岗市网友--我的摩托幼儿： |新一代领导人上任之后，看到了太多的变化，百姓很是踏实。|242
网易韩国网友--不经沧桑怎成男人： | 习近平同时强调，要防止一知半解、断章取义、生搬硬套。要防止徒陈空文、等待观望、急功近利。要注意避免合意则取、不合意则舍的倾向，破除妨碍改革发展的那些思维定势。|240
网易黑龙江省鸡西市网友--小笨蛋是谁： |大家有目共睹！期待领导人 能够排除苦难，为我们民众做出最大努力！辛苦您了：国家领导人！！|240
网易韩国网友--玉华王走了： |希望在习主席的领导下，我们国家能更加繁荣昌盛！人民能更加安居乐业！|239
网易韩国网友--太上老君洗澡： |习主席给力！！有您带领全国人民走向国强民富的新生活，我们很有信心！！我们挺你习主席！|236
网易韩国网友--穿针儿张旺女： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|235
网易黑龙江省鹤岗市网友--风姿女人： |支持习总的认真务实！是人民的好榜样！|235
网易黑龙江省鸡西市手机网友--芭比小贫民： |切实把国家和人民的利益放在第一位，这样的领导人人民定会爱戴|233
网易黑龙江省鹤岗市网友--大家一起嗨啊： |期待着习大大带领中国走向更美好的未来！|232
网易黑龙江省鹤岗市网友--哇卡卡依： |习主席一心一意为国家、为人民服务。有这样的领导人民感到很幸福.|232
网易韩国网友--赤脚大仙是狗： |支持习主席/艰苦奋斗，遵循老一辈革命风格，发扬中华民族的传统美德——节俭！从你我做起反对浪费。|231
网易黑龙江省鸡西市网友--伯爵的仆人： |真心敬佩习书记，大力整治现存的社会问题，人们都充满了信心与希望！|230
网易韩国网友--多么哇塞的美女： |习书记讲的好，中国人民有发展的前途，在您的带领下一定会站在世界前列|230
网易韩国网友--城南恋人不是人： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|229
网易韩国网友--太白金废了： |支持习总！中国加油，人民加油，魅力小康与美好人生就在你我身边实现。|229
网易韩国网友--仙佛神灵上网： |习近平主席了解近年来交通条件变化很大，贫困地区要脱贫致富，这方面要加大力度，继续支持。拥护习近平主席|228
网易黑龙江省鸡西市网友--态度设置： |习书记的努力和辛苦全国人民都看到了，我们相信您，支持您！|228
网易韩国网友--天若暗下你便是光： | 坚决拥护习总书记，话语表真心，行动表决心，相信在新一代国家领导人的领导下我们的国家会越来越昌盛|228
网易黑龙江省鸡西市网友--雅客地位高： |希望在习主席的带领下，党员干部能脚踏实地的为民众服务。|227
网易韩国网友--我爱你你爱她我瞎你： |中国需要和平发展的环境，但决不会损害国家的领土和主权；中国有保卫国家领土和主权的强大力量，但决不会称霸世界。坚决拥护中国共产党领导，拥护习近平主席！|227
网易韩国网友--比丘国驿丞： |习总给人民带来了新的曙光，支持习总。|225
网易韩国网友--案发我哇： |习主席给我们带来了新气象，相信祖国的明天会更好！|224
网易黑龙江省鹤岗市网友--自由平等博爱： |我们永远忠于习主席！我们永远忠于共产党|224
网易黑龙江省哈尔滨市网友--猛的逼得喝： |祝祖国在习总书记的带领下再创辉煌！|224
网易韩国网友--永远也当不了原配： |在习书记的带领下，坚持法治国家、法治政府、法治社会一体建设，不断开创依法治国新局面。|223
网易黑龙江省鸡西市网友--阿什顿我： |维护国家利益不受侵害，好书记，好领导。支持习总书记决策！|223
网易韩国网友--九命猫死一颗心不灭： |习主席给力！！有您带领全国人民走向国强民富的新生活，我们很有信心！！我们挺你习主席！|223
网易山东省青岛市手机网友--相逢是缘d： |为习大大点赞，加油|0
网易山东省青岛市手机网友--心慈手不软： |支持习大大的访英！|117
网易山东省青岛市手机网友--阿SIR陈： |中国在国际上的影响力和大国作用日益彰显出来，我们的民族自豪感与日俱增。为中国骄傲！|0
网易山东省青岛市手机网友--嘦怹： |习大大国际国内口碑都没的说，人民的好领导|122
网易山东省青岛市手机网友--愛仩沵嘸悔： |拥护主席|0
网易天津市网友 <span id=B6REPC23 class=cGray>ip：60.28.*.*：</span>|英国是一个古老的国家。|0
网易山东省青岛市手机网友--刁小花： |支持习总书记 赞一个|3
网易陕西省渭南市网友--不知有花7： |会见球星，体现出了习大大的亲民形象，相信中国会在习大大的带领下越来越强|1
网易陕西省渭南市网友--m18292303770_1： |习近平将访曼城足球俱乐部，标志着中国将进一步加强与英国在体育方面的合作，实现两国的共赢。|2
网易陕西省渭南市网友--m18292303770_1： |习近平将访曼城足球俱乐部，标志着中国将进一步加强与英国在体育方面的合作，实现两国的共赢。|0
网易山东省青岛市市北区手机网友--阿SIR陈： |坚决拥护我们敬爱的习大大！|0
网易山东省青岛市手机网友--醉逍遥a： |习大大真务实呀!给习大大点赞[嘻嘻][嘻嘻][威武]|2
网易山东省青岛市手机网友--咔b齐偌： |习主席领导做好|0
网易山东省青岛市手机网友--牵手幸福h： |支持习总书记|0
网易山东省青岛市手机网友--朴氏二货： |支持总决策，大力发展高科技，早日实现中国梦|0
网易山东省青岛市手机网友--你已离我而去i： |预祝习大大访英成功！|0
网易山东省青岛市手机网友--铭记n： |务实的好主席！支持[嘻嘻][嘻嘻][心]|0
网易山东省青岛市手机网友--金陵绕丹阳： |习主席冒雨来到武汉视察，没有前呼后拥的保安，没有热烈欢迎的陈容，只有朴实无华，|2
网易山东省青岛市手机网友--吢灵de傾斜： |中国有了习大大感觉话语权明显更足了|0
网易山东省青岛市手机网友--猫腻儿i： |务实|155
网易山东省青岛市手机网友--咔b齐偌： |紧跟习主席，建成小康社会、焕发改革精神、增强法治观念、落实从严治党|1
网易山东省菏泽市网友 <span id=B6KL7EHL class=cGray>ip：27.206.*.*：</span>|习主席访英，更进一步推进了中国的国际地位，是全体中国人的骄傲。像习主席致敬！|1
网易甘肃省陇南市网友--229713487： |社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|2
网易北京市网友 <span id=B6KE3SKG class=cGray>ip：202.106.*.*：</span>|中国足球寄托了中国球迷太多的希望和失望！习大大上任以后中国足球的改革和进步有目共睹，当然一国足球水平的进步不是一朝一夕的事情，需要付出长期的努力，但是只要我们积极向世界强队学习，苦练内功，主动革新，中国足球的崛起只是一个时间问题！|2
网易福建省厦门市网友--财产不敢公示就是腐败分子： |期待中国足球争气，下场击败香港队|35
网易广东省佛山市网友--酱油海洋中的一座山峰： |英国足球，中国在欧洲的铁哥们。|19
网易福建省泉州市网友 <span id=B6KB4V9R class=cGray>ip：59.57.*.*：</span>|此次，习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机.|0
网易山东省烟台市网友--怕情绪： |中国的崛起需要这样的领导人，真心希望在他的领导下,这种现象开始有所改变，总书记为国为民辛苦了！|2
网易四川省成都市网友 <span id=B6KA2PMD class=cGray>ip：182.138.*.*：</span>|习大大好样的|0
网易四川省成都市网友 <span id=B6KA0064 class=cGray>ip：182.138.*.*：</span>|习大大好样的|0
网易河北省唐山市网友--漫不经心77： |习总也是足球爱好者，希望中国足球在未来有更好的发展！|0
网易辽宁省阜新市网友 <span id=B6K9SBCH class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各自的文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易辽宁省阜新市网友 <span id=B6K9S6NS class=cGray>ip：60.18.*.*：</span>|中英两国是东西方的两大文明代表，两国的文化交流互鉴丰富了各自的文明成果、促进了社会进步，也将为人类社会发展做出了卓越贡献。|0
网易河北省唐山市网友--漫不经心77： |希望中国足球能向英国借鉴，能有好的发展！|0
网易河北省唐山市网友--漫不经心77： |希望此访能促进两国体育文化的发展|1
网易贵州省黔东南州网友--那的山这的水： |有习大大这样的“超级球迷“，还有中英签订足球合作协议等这样的合作，我们的足球梦相信不远矣！|0
网易河北省唐山市网友--漫不经心77： |习书记为国为民，值得全国人民拥护！|0
网易北京市网友 <span id=B6K8SJJO class=cGray>ip：118.186.*.*：</span>|两国友好的象征。|0
网易辽宁省沈阳市网友--212343824： |习主席此次出行可谓亮点颇多，如果说中英两国签署了巨额的合作协议是合作的重要表现，那么双方的文化沟通是深入了解、进一步合作的又一个里程碑。习主席在庄园会晤卡梅伦未扎领带，体现了领导人的随和，展示了中国同英国全面战略合作伙伴关系的亲密无间。习主席品尝英伦特色小吃并评价“very good”，既展现了中国外交文化的包容，也展现了习主席接地气、没架子的人格魅力。谈判桌之外的沟通，也许更考验一任领导人外交的手腕和智慧，中国人向来尚礼、尚和，真心为习大大此次出访的气度和优雅点赞！|0
网易辽宁省沈阳市网友--212343824： |习大大本人也是足球爱好者，而且可能足球踢得还不错。英超一直以来被认为是世界上最好的联赛，快节奏、竞争激烈、强队众多，现已成为世界上最受欢迎的体育赛事之一，也是收入最高的足球联赛，英超的很多经验和做法值得我们学习。习大大对国内足球的关注和改革也是大家有目共睹的，中英两国签订足球合作协议是双方加强合作实实在在的例子，更是对中国足球科学发展、勇敢前进的最佳助推。|0
网易河南省网友--游走猫咪： |习大大访英，足球的地位跟兵乓球在中国的地位差不多，曼城是英国足球重要的一部分，习大大选的地方很对。希望中国足球也能够多学学英国足球，早日崛起！|0
网易辽宁省鞍山市网友--tswdys： |庄园会晤，酒吧交流，出席全英孔子学院和孔子课堂年会开幕式，访曼城足球俱乐部，甚至还要会见球星，习大大的亲民的形象不仅深深的印在中国人民心中，也给英国人留下了深刻的印象，这无疑为中英两国更加紧密的关系更迈进一步，其实，中国一如习大大的亲切感觉，也是一个带有亲切感的大国。|0
网易辽宁省鞍山市网友--tswdys： |庄园会晤，酒吧交流，出席全英孔子学院和孔子课堂年会开幕式，访曼城足球俱乐部，甚至还要会见球星，习大大的亲民的形象不仅深深的印在中国人民心中，也给英国人留下了深刻的印象，这无疑为中英两国更加紧密的关系更迈进一步，其实，中国一如习大大的亲切感觉，也是一个带有亲切感的大国。|0
网易河南省网友--游走猫咪： |习大大访英的足球之旅，参观曼城的确是体育外交的一部分，应该去。这也必将带动中英足球新一轮更加紧密的合作，为中国足球的改革和发展带来新的契机，赞赞赞|0
网易山东省济南市网友--日照女汉子： |社会的发展与进步不仅仅体现在经济上的快速发展，中国要全面深化改革，必须要牢牢抓住全面两个字，习大大访英会见球星一举，体现了大大对中国未来体育事业方面的期许，另一个方面也对深化足球改革提供一个平台。|0
网易山东省济南市网友--日照女汉子： |中英两国元首像两个亲密的朋友，漫步乡间，酒吧小酌，体现的是一种亲切，一种友谊。这显示了中英两个大国平等友好的关系，这是中国国际地位的体现。习大大与英国首相举杯畅饮，也预示着中英的外交关系将更近一步，因为越是步入寻常的地方，就越能证明两国关系的亲密。|0
